Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18245296045,"Apr 24, 2026, 11:55:07 PM",Evening Run,Run,,1948,5.03,187.0,48,false,,,activities/19348251782.fit.gz,,,1948.0,1671.0,5032.6,4.38,3.012,39.0,38.0,251.8,271.4,50.0,0.0,,,92.0,82.0,187.0,157.0,,269.0,378.0,,21.0,48.0,446636.0,,,,,,,,283.0,1949.0,,,0.0,,1.0,5100.8,1777071600.0,1.0,17.7,18.8,7.2,0.5,1010.2,2.9,3.5,354.0,0.0,1777029649.0,1777079111.0,0.25,,,0.0,1.0,0.01,30351.0,1.0,,,,,,2.583,2610.5,,,,4692.0,0.0,,245.0,213.0,3.053,,,,,,,,,,,,""
18217036354,"Apr 22, 2026, 7:21:10 PM",Afternoon Run,Run,,1974,4.93,184.0,59,false,,,activities/19319780127.fit.gz,,,1974.0,1809.0,4934.6,4.16,2.728,45.0,43.0,249.0,269.2,18.3,0.0,,,104.0,78.0,184.0,161.0,,249.0,384.0,,29.0,59.0,447691.0,,,,,,,,282.0,1975.0,,,0.0,,1.0,5104.4,1776884400.0,2.0,25.0,23.6,15.6,0.56,1010.3,6.0,9.0,177.0,0.0,1776857029.0,1776906181.0,0.125,,,0.0,1.0,0.5,31005.0,6.0,,,,,,2.5,2612.1,,,,4748.0,0.0,,246.0,212.0,2.822,,,,,,,,,,,,""
18179668931,"Apr 19, 2026, 5:58:56 PM",Lunch Run,Run,,1025,3.22,177.0,33,false,,,activities/19282191437.fit.gz,,,1025.0,985.0,3228.2,4.7,3.277,30.0,27.0,254.0,271.6,30.0,0.1,,,94.0,87.0,177.0,161.0,,305.0,219.0,,21.0,33.0,300664.0,,,,,,,,310.0,1026.0,,,0.0,,1.0,3317.2,1776618000.0,1.0,11.4,8.7,-0.1,0.45,1024.1,5.0,9.7,330.0,0.0,1776598095.0,1776646782.0,0.125,,,0.0,1.0,0.17,37043.0,5.0,,,,,,3.149,961.9,,,,2850.0,0.0,,154.0,233.0,3.368,,,,,,,,,,,,""
18179668934,"Apr 16, 2026, 11:31:28 PM",Evening Run,Run,,1482,3.68,177.0,11,false,,,activities/19282191401.fit.gz,,,1482.0,1235.0,3683.8,4.56,2.983,22.0,21.0,252.2,267.4,14.0,0.0,,,104.0,82.0,177.0,134.0,,259.0,248.0,,28.0,11.0,320683.0,,,,,,,,270.0,1483.0,,,0.0,,1.0,3737.1,1776380400.0,1.0,25.9,26.9,11.2,0.4,1006.6,3.4,5.6,186.0,0.0,1776339171.0,1776387389.0,0.875,,,0.0,1.0,0.0,35443.0,1.0,,,,,,2.486,1412.1,,,,3386.0,0.0,,169.0,203.0,3.026,,,,,,,,,,,,""
18083189147,"Apr 12, 2026, 5:23:41 PM",Lunch Walk,Walk,,441,0.42,134.0,1,false,,,activities/19184855775.fit.gz,,,441.0,441.0,419.7,2.22,0.952,5.0,3.0,254.2,257.2,10.9,0.5,,,88.0,57.0,134.0,107.0,,,45.0,,24.0,1.0,,,,,,,,,,,,,0.0,,1.0,,1776013200.0,8.0,21.2,17.1,17.4,0.79,1007.6,8.4,15.7,210.0,0.0,1775993953.0,1776041526.0,0.875,,,0.99,5.0,1.0,17631.0,4.0,,,,,,0.952,0.0,,,,600.0,0.0,,,,,,,,,,,,,,,,""
18083074434,"Apr 12, 2026, 4:48:13 PM",Lunch Run,Run,,1896,4.83,179.0,34,false,,,activities/19184738336.fit.gz,,,1896.0,1725.0,4833.4,4.74,2.802,54.0,54.0,250.4,272.0,21.2,0.0,,,102.0,83.0,179.0,151.0,,269.0,331.0,,24.0,34.0,423737.0,,,,,,,,280.0,1896.0,,,0.0,,1.0,5025.8,1776009600.0,8.0,20.7,16.4,17.4,0.81,1007.6,8.4,15.9,209.0,0.0,1775993958.0,1776041531.0,0.875,,,0.99,5.0,1.0,20251.0,3.0,,,,,,2.549,2706.3,,,,4432.0,0.0,,233.0,211.0,2.914,,,,,,,,,,,,""
18033104131,"Apr 8, 2026, 8:33:20 PM",Afternoon Run,Run,,3033,8.20,185.0,94,false,,,activities/19134246987.fit.gz,,,3033.0,2657.0,8201.5,5.2,3.087,108.0,106.0,241.2,275.4,35.0,0.0,,,94.0,84.0,185.0,163.0,,287.0,608.0,,25.0,94.0,766466.0,,,,,,,,290.0,3034.0,,,0.0,,1.0,8798.0,1775678400.0,8.0,22.0,18.1,6.6,0.37,1011.2,7.7,11.2,219.0,0.0,1775648740.0,1775695667.0,0.625,,,0.5,5.0,0.74,53120.0,3.0,,,,,,2.704,0.0,,,,7444.0,0.0,,400.0,218.0,3.311,,,,,,,,,,,,""
17940600438,"Apr 1, 2026, 5:03:38 PM",Lunch Run,Run,,550,1.61,175.0,12,false,,,activities/19040696373.fit.gz,,,550.0,451.0,1616.3,4.74,3.584,11.0,12.0,249.8,257.2,33.3,0.1,,,97.0,91.0,175.0,157.0,,337.0,106.0,,21.0,12.0,150594.0,,,,,,,,323.0,551.0,,,0.0,,1.0,1658.3,1775062800.0,3.0,11.1,4.0,4.6,0.64,1019.3,6.6,10.1,104.0,0.0,1775044634.0,1775090410.0,0.375,,,0.79,5.0,0.99,23531.0,3.0,,,,,,2.939,311.2,,,,1374.0,0.0,,90.0,243.0,3.677,,,,,,,,,,,,""
17907245306,"Mar 29, 2026, 11:24:50 PM",Evening Run,Run,,1023,3.23,180.0,29,false,,,activities/19007078404.fit.gz,,,1023.0,961.0,3237.1,4.58,3.368,13.0,14.0,251.4,257.8,11.0,-0.1,,,113.0,86.0,180.0,158.0,,306.0,215.0,,24.0,29.0,294479.0,,,,,,,,319.0,1024.0,,,0.0,,1.0,3265.6,1774825200.0,1.0,19.5,17.9,6.6,0.43,1011.8,5.2,8.8,180.0,0.0,1774785722.0,1774830999.0,0.375,,,0.0,1.0,0.15,43506.0,1.0,,,,,,3.164,917.5,,,,2748.0,0.0,,163.0,240.0,3.398,,,,,,,,,,,,""
17894581012,"Mar 28, 2026, 11:31:58 PM",Evening Run,Run,,1590,4.89,168.0,30,false,,,activities/18994235024.fit.gz,,,1590.0,1539.0,4894.2,4.54,3.18,29.0,31.0,255.2,276.4,16.1,0.0,,,119.0,86.0,168.0,150.0,,287.0,315.0,,19.0,30.0,439948.0,,,,,,,,294.0,1591.0,,,0.0,,1.0,4964.6,1774738800.0,2.0,12.7,7.2,-6.3,0.26,1023.4,6.7,11.2,198.0,0.0,1774699439.0,1774744547.0,0.375,,,0.0,1.0,0.43,59664.0,1.0,,,,,,3.078,103.5,,,,4404.0,0.0,,215.0,221.0,3.226,,,,,,,,,,,,""
